store_id,store_name,city_id,store_type,store_tier,store_sqft,opened_date,is_active
STORE-01,RetailFlow360 Mumbai Central,1,Flagship,Tier-1,3200,2022-04-03,True
STORE-02,RetailFlow360 Mumbai Andheri,1,Standard,Tier-1,3200,2016-09-22,True
STORE-03,RetailFlow360 Pune MG Road,2,Standard,Tier-1,5200,2018-12-23,True
STORE-04,RetailFlow360 Nashik CBS,3,Standard,Tier-2,4100,2018-07-05,True
STORE-05,RetailFlow360 Nagpur Sitabuldi,4,Standard,Tier-2,4100,2023-02-16,True
STORE-06,RetailFlow360 Delhi Connaught Place,5,Flagship,Tier-1,4100,2022-08-04,True
STORE-07,RetailFlow360 Bengaluru MG Road,6,Standard,Tier-1,3200,2024-07-12,True
STORE-08,RetailFlow360 Chennai T Nagar,7,Standard,Tier-1,8500,2017-04-13,True
STORE-09,RetailFlow360 Hyderabad Banjara Hills,8,Standard,Tier-1,3200,2020-04-18,True
STORE-10,RetailFlow360 Ahmedabad SG Highway,9,Standard,Tier-2,8500,2016-10-07,True
STORE-11,RetailFlow360 Kolkata Park Street,10,Standard,Tier-2,6800,2018-06-20,True
